,title,img_url,details,discount_percentage
65,Crocs for Women,https://rukminim1.flixcart.com/image/150/150/ktuewsw0/sandal/e/b/h/2-205453-90h-2-crocs-multi-original-imag73zzackay9rw.jpeg?q=70,Women's Clogs & more,Up to 60% Off
66,"Bata, Walkaroo & more",https://rukminim1.flixcart.com/image/150/150/kzegk280/sandal/i/i/c/11-8514085-11-bata-brown-original-imagbf494pzgpuu2.jpeg?q=70,Men's Sandals & Slippers...,Under ₹499
67,"Nike, Levi's, ADIDAS...",https://rukminim1.flixcart.com/image/150/150/kpodocw0/short/b/w/r/40-13298396-levis-original-imag3urgbppvzk8h.jpeg?q=70,"Shorts, Trackpants..",50-90% Off
68,"Fastrack, Wrogn, Streak...",https://rukminim1.flixcart.com/image/150/150/kngd0nk0/sunglass/s/w/0/58-uv-protection-aviator-sunglasses-prasu-original-imag23zznrpphs2h.jpeg?q=70,#Stylish Sunglasses,30-70% Off
69,"Provogue, Metronaut & more",https://rukminim1.flixcart.com/image/150/150/xif0q/sock/u/w/y/free-5-mss22msckchsl5003-metronaut-original-imaghuf3nzqhwr4t.jpeg?q=70,"Men's Tshirts,Vests,Socks & more",From 99/-
70,Latest trendy suitcases,https://rukminim1.flixcart.com/image/150/150/l2krs7k0/suitcase/l/9/n/80-converge-80-teal-large-red-red11-check-in-suitcase-skybags-80-original-imagdvw76hsuvcgz.jpeg?q=70,Latest designs in suitcases,40-70% Off
71,Reebok,https://rukminim1.flixcart.com/image/150/150/ked56kw0-0/shoe/t/a/p/fw1797-7-reebok-pugry6-none-none-original-imafv2fgahagsgzg.jpeg?q=70,International Shoes & Sneakers,Min. 50% Off
72,Solethreads,https://rukminim1.flixcart.com/image/150/150/xif0q/slipper-flip-flop/d/x/p/-original-imagkgnhxc3zgn5n.jpeg?q=70,New Styles in Best prices,From ₹199
73,New Arrivals!,https://rukminim1.flixcart.com/image/150/150/kw3v0cw0/dress/h/v/n/s-25037-urbanic-original-imag8uxyzxqbu3r5.jpeg?q=70,"Urbanic, Levi's & more",Under ₹599
74,Blouse,https://rukminim1.flixcart.com/image/150/150/l2f20sw0/blouse/o/g/q/36-hf-27-rani-36-himrise-original-imagdrmbfe8z8frg.jpeg?q=70,Trendy Styles!!,Under ₹499
75,Bestselling Sarees of Year!,https://rukminim1.flixcart.com/fk-p-flap/150/150/image/e9822bb5a58988d0.jpg?q=70,"Samah, Yashika & more",Min 75% Off
76,"Metronaut, Billion & more",https://rukminim1.flixcart.com/image/150/150/ku79vgw0/t-shirt/l/t/k/m-blaw21cnpk25-billion-original-imag7dkhqwfr6hah.jpeg?q=70,Combo Deals on Tshirts,From 199/-
77,Big Brand Loot!,https://rukminim1.flixcart.com/image/150/150/xif0q/dress/x/r/u/m-ttj6007306-tokyo-talkies-original-imaghb9dzfggdmyh.jpeg?q=70,"Flying Machine, Puma & more",Min 70% Off + 10% Off
78,"PUMA, ADIDAS & more",https://rukminim1.flixcart.com/image/150/150/kvba7bk0/shoe/x/b/p/-original-imag88gaxkksgrnp.jpeg?q=70,"Running, Walking Shoes...",Min. 50% Off
79,"U.S. Polo Assn., Highlander..",https://rukminim1.flixcart.com/image/150/150/kb9ou4w0/shoe/j/g/6/11391306-40-u-s-polo-assn-white-original-imafsnetwnyzu8x2.jpeg?q=70,"Sneakers, Loafers, Slides...",Min. 40% Off
80,Sparx,https://rukminim1.flixcart.com/fk-p-flap/150/150/image/e45d943c76d11b57.jpg?q=70,"Shoes, Sandals & more",From ₹199
81,"ADIDAS, PUMA...",https://rukminim1.flixcart.com/image/150/150/l3bx5e80/shoe/s/o/b/9-ga1117-9-adidas-shanav-ftwwht-aciyel-cblack-original-imageh7mdzwmrjkw.jpeg?q=70,Men's Shoes,Min 50% Off
82,Red Tape,https://rukminim1.flixcart.com/image/150/150/l407mvk0/shoe/7/a/b/-original-imagezy4gxh9gjsb.jpeg?q=70,"Sports Shoes, Sneakers....",Min. 70% off
83,"Jumpsuits, Dresses, Skirts...",https://rukminim1.flixcart.com/image/150/150/kmax8y80/jumpsuit/x/v/h/m-10236141-vero-moda-original-imagf8hjuu7swc8g.jpeg?q=70,"Kassually, Uptownie Lite...",Upto 80% Off
84,MAX,https://rukminim1.flixcart.com/image/150/150/xif0q/kids-dress/u/7/w/15-16-years-m23edr04multi-max-original-imagp9tqzm7cfgxw.jpeg?q=70,Best Offer!,From ₹149
